,Unnamed: 0,tweet_id,user_sentiment_label,campany_name,full_text,user_id,user_name,user_description
0,1,126402758403305474,positive,apple,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,24329461.0,yasmin/floral theory,a boutique floral + design co.\\ weddings + celebrations + gatherings \\ sf + napa valley + destination \\ co-founder @thelabevent \\ sf native \\ @cal alum
1,2,126397179614068736,positive,apple,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,14423530.0,Karen N Caruso,"food and wine enthusiast, yogi RYT-200, industrial organizational psychologist, HR technology leader @viaPeople"
2,5,126379685453119488,positive,apple,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,19634734.0,Jacqueline Isaacs,"Director of Strategy, Partner, Bellwether Comms // Co-author #CalledToFreedom // Wife of @JasonWIsaacs // MBA @JohnsHopkins // tweets my own."
3,6,126377656416612353,positive,apple,Great up close & personal event @Apple tonight in Regent St store!,79138920.0,Dario Cotroneo,Founder DARIO SALON & DCI Education
4,7,126373779483004928,positive,apple,From which companies do you experience the best customer service aside from @zappos and @apple?,242833377.0,FastCustomer,"Skip hold. Just tap which company you want to reach, and we'll have one of their customer service agents call *you!*"
5,8,126366353757179904,positive,apple,"Just apply for a job at @Apple, hope they call me lol",31142247.0,LuisTheDude,"I am a web designer, developer and DJ, who's always working on something new."
6,10,126365858481188864,positive,apple,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,32354132.0,Graham Reid,Jamaican. Video Game Developer & Art Director. Made #Hecticube for Android and iOS. Currently juggling game dev and making dope things @Snapchat
7,11,126360935509135362,positive,apple,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",385446549.0,David Rankine,"Scottish actor represented by Brennan Artists.
Next appearing in Chicago at PFT"
8,12,126360398885687296,positive,apple,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,8629112.0,52 Novels,"Book design and ebook development for authors, publishers, educational institutions, and companies. Since 2010."
9,13,126358340220616704,positive,apple,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",75082777.0,Phillip Rowntree,"Dad, Husband, Theatre Producer. not always necessarily in that order. Executive Commercial Producer at Selladoor Worldwide (@sell_a_door)"
10,14,126357982685569024,positive,apple,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ,19352516.0,Krizia,actor • producer • voice over artist -- discovering myself one day at a time ⚡️ https://t.co/mJRyOP7jeY 🇨🇺
11,16,126352268705538048,positive,apple,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”",126729468.0,Coach💪🏼🧠R.ingalls,"@IMGAcademy @IMGAPerformance #MentalConditioning #Coach for @IMGAFootball, @IMGABasketball and IMGs #Esports Division - BS Sports Studies - MA Sport Psychology"
12,21,126342268603998208,positive,apple,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",52486190.0,Brian DeVito,"revenue manager & ticketing strategist for #broadway. not-so-recent @bualumni. biotech investor, budding mixologist and street-art hunter."
13,23,126324177501302784,positive,apple,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,20021713.0,Creative Class Group,CREATIVITY + BUSINESS + CITIES
14,25,126322063332999169,positive,apple,@apple @siri is efffing amazing!!,76532788.0,DJ EZ,"Ping pong, PB n J anddddd wait for it..... Music!"
15,27,126318009647235072,positive,apple,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",23719439.0,James Martin,Hi! I'm a designer & filmmaker. I made a doc on the Sazerac Cocktail and converted a school bus to a motorhome. I also do @triplingo & @thesipologist
16,28,126315223060709376,positive,apple,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",244778885.0,TripLingo,"Our mobile platform helps keep travelers safe, productive, and happy during trips abroad. GBTA's Business Travel Innovation of the Year award winner."
17,29,126315011600678913,positive,apple,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

",179526726.0,BENJAMINJ,#KYS®
18,30,126314687116750849,positive,apple,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,105894472.0,Peter Zamora,"Believer in Christ, Husband, Father, Store Manager and A Mud Run Fanatic!! Part of the minority... a Rebel!!"
19,32,126311981564178432,positive,apple,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,28923411.0,BEN™ 🇭🇹,#FIUAlumnus #UnEmployed #OhYouGonSeeThisSixPack #NoTextBackButImOnTwitter Booking:BoomingEntServices@gmail.com
20,33,126307801046847488,positive,apple,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,62966775.0,Kseniya 🌱 Birch Co.,"Lifestyle blogger and foodie. Mom to a sassy toddler. Digital Marketing @kseniyamartin. For hire and open to sponsorships, DM for contact info."
21,34,126302673820594176,positive,apple,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,18008954.0,D. Volker,🌞 Cast sunlight and you'll be all right.
22,35,126301956951117826,positive,apple,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,274137358.0,Tom Sparling,Apple Support Professional
23,37,126284506360578049,positive,apple,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",14111540.0,Asim Ranginwala,Have super-human ability to form opinions no one can agree with.
24,39,126263834968211456,positive,apple,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,45058631.0,Jbgud,DadHusbandWeekendWarriorLegalRecruiter #Internationalist
25,40,126256230397259776,positive,apple,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,240010040.0,JMI,"We are JMI. We connect brands, cultures and communities."
26,42,126195522691280896,positive,apple,@bkad5161 than apologize to @apple ;),160833429.0,Ryan Cunningham,KEEP IT LOUD
27,43,126183339945234432,positive,apple,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX,198292648.0,Castleford,We are Castleford. Australia and New Zealand’s leading content marketing agency. We strategise. We create. We amplify.
28,44,126180209501286400,positive,apple,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI",58339998.0,Ryan Guerrant,Enjoying life ✨ selling houses 🏡 spreading positive vibes ♥️ sometimes I rant here 😅
29,45,126164430546403328,positive,apple,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,10698372.0,Jared McQuarrie,"Integrated Marketing Ninja, Masters @MedillIMC @NorthwesternU, Father/Husband. #social, #mobile, #analytics #partners #CMS #loyalty #AI. My Opinions"
30,47,126140794078892033,positive,apple,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,7571902.0,Justin Grunau,Language Nerd; Biblioholic; Dog-lover; History Buff; Film Buff; Scifi/fantasy fan; Geek. Former Linguist turned Software Engineer. Gay. Google profile:
31,50,126116898051076096,positive,apple,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",172913821.0,· mac ·,You're either mad enough to bare-knuckle box or ya ain't mad at all...  Just pay me in Bitcoin
32,51,126116614495154176,positive,apple,Well at least the @apple store has amazing call waiting music! #need4s,387503370.0,Michelle Murphy,mom to @watsonandwalls on IG  // production at @helloenso // board of @theeryc // I tweet so I can remember the podcasts I listen to & yell at brands that suck
33,52,126112836219973632,positive,apple,#sweet... #apple replaced my glass #probono. thank you @apple,23181314.0,suBi,ui/ux designer developer
34,53,126107965991297024,positive,apple,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,36972169.0,Bruce Peck,"Recruiter. Social Media fan. Son. Dad. Husband. Grandfather. Friend. Boston you're my home, love that dirty water. Can't find me? Try the beach."
35,55,126097426493878272,positive,apple,I'm loving this new IOS5 update :) @apple,251411862.0,Aunty Manda 💕,Instagram: nayelisequoia | Hairoun 🇻🇨 | Hunter '20 uber eats code: eats-amandah18056ue
36,56,126095744531832832,positive,apple,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,98524288.0,Orlando Shop Buzz,Real-time local buzz from shoppers in Orlando for their favorite stores and brands!
37,58,126084907343691776,positive,apple,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,15444333.0,lenz72,"I play violent video games, I vote conservative, I rock Shabbos candles.  I work in Telecom but I work on Digital Entertainment.  My daughter makes me laugh."
38,61,126076238375817216,positive,apple,#iCloud set up was flawless and works like a champ! To the Cloud @Apple,45492746.0,Christopher M.Wilke,"Father of four wonderful girls love hockey Rochester NY social media,tech and positive people"
39,62,126075534894571520,positive,apple,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,93312220.0,Heather Smith,"Wife, Never-stay-at-home Mom, Blogger, Reviewer, Canadian Ex-pat, PR Friendly, Reader, Proud #Autism Mom"
40,65,126063358037340161,positive,apple,Once again getting great customer service from the @apple store at millenia mall.,15211917.0,Mike,"Tech geek, Crossfit enthusiast, fan of soup. #weare #PSUnrivaled #diamondclub"
41,66,126059405941809152,positive,apple,Is it just me or is #iOS5 faster for the iPad? @apple,35053716.0,Caleb Peavy,I help others communicate creativity.  #becreative // http://t.co/cFn5ZtWUzl
42,68,126057030996852737,positive,apple,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH,247965993.0,Trevor Hawley,"Sales for @Braze (formerly Appboy). Heavy Hitter Fundraiser for @PanMass. Previously with @BetterWorks, @Localytics & @HubSpot."
43,69,126049183865114624,positive,apple,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,42968545.0,Ty Coffey,Christ-follower | Community Volunteer | Loving Husband & Father | ROLL TIDE | RT≠Endorsements | I Dance
44,71,126040074595999746,positive,apple,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1,83639896.0,Colin Hornett,"Friend of ze planet and it's inhabitants. CCO @iPowow, Lead Astronaut @yoggx, animal bodyguard, #waterislife, life enthusiast and enjoyer #morelove"
45,74,126026756623831041,positive,apple,@Apple Safari Reader owns the worldwide web,230054952.0,Conor Butts,"Golfer & Bass Angler on a relentless pursuit of Knowledge.

@TempoTeacher"
46,75,126019393460244481,positive,apple,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out,35161162.0,Erica Normandeau,Boston Native Living in San Francisco
47,78,126008369562652672,positive,apple,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)",147460928.0,Alexander Manila,"Classical dancer turned philanthropist, fitness enthusiast, wine lover and equality advocate. Once Mr. Gay Seattle, SF transplant. #MuscleBottom #ImStillWithHer"
48,79,126002597063696384,positive,apple,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone,59159781.0,TREVOR GODINHO,"I SHOOT PEOPLE FOR A LIVING.  ELINCHROM AMBASSADOR 
For all inquires 
info@trevorgodinho.com"
49,80,125999676972470272,positive,apple,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w",138703311.0,Matthew J. Brooks,"Self Automated Internet Entrepreneur, Domainer, Deliberate Creator, Marathon Runner, & Sushi Lover. Follow me on my journey, you might even learn something!"
50,83,125978568726560768,positive,apple,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!",143764342.0,Juanma Altamirano,"iOS Developer, Indie Game/App developer, Creative brain"
51,85,125974505385500672,positive,apple,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,15254699.0,Kyle カイル,"Software Engineer, dad, gamer, anime fan, maker of things. Wants to move to Japan. Views are mine."
52,87,125959059957485569,positive,apple,I just sent my grandma a post card using my #CardsApp thanks @Apple,53097813.0,Anthony C Aiken II,A Geek. Apple Fanboy. Hp Fanboy. A intellectual. Technophile. Hit me up I'm pretty cool (so I've heard). #Pisces #Marching101 #Atl #RDO #HootieHoo #7Made #RUAF
53,89,125947912306954240,positive,apple,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive.",18156400.0,Chris Wong,Digital communications and marketing consultant and writer working on a book about Vancouver's jazz history - see my book blog at https://t.co/n392VnHLFM.
54,92,125940394566483968,positive,apple,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)",58057735.0,amanda featherstone,Related to the cheshire cat.
55,95,125925618486489088,positive,apple,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :),25052362.0,boxocube,Signed to @DIGITALGROOVEUK. Resident DJ at We Love Fundays & Dont Talk dance!
56,97,125922999651139584,positive,apple,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple),82109274.0,Richard Budman,"I take pictures around #Toronto & VENT about photography, marketing, pop culture, & media stuff in Canada. I sometimes help people with #SocialMedia design."
57,101,125902301931126785,positive,apple,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,45853060.0,Gareth Waugh,Waugh! Who? Good Ya'll!
58,102,125901202591461376,positive,apple,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,49842125.0,derek de jesus,"Christian, Democrat, Cardinals fan"
59,103,125900497327636480,positive,apple,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone,49842125.0,derek de jesus,"Christian, Democrat, Cardinals fan"
60,106,125840039031738368,positive,apple,@apple your simply the best.,286714503.0,Addicted To Flying.,God . Style . Confidence . Success.
61,108,125794931439702016,positive,apple,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's,275753498.0,Ali,The Exceptional Exception
62,109,125728717942161408,positive,apple,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness",186319947.0,Shel Gianaris,"Jesus follower, wife of the amazing @bgianaris , mom to sweet baby G, @ElevationChurch staff, owner of @GlitzAndGigglez & known to drink milk out of the jug"
63,111,125722746100531200,positive,apple,Loving the new iPod update @apple,334803350.0,Phillip Morgun,Redeemed by Jesus | Student @BoyceCollege
64,112,125717622728818688,positive,apple,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.,10999692.0,Ron Glasmann,"Software engineering manager and architect.  Embrace change, manage complexity."
65,114,125713935344214016,positive,apple,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed,208107604.0,Vegan Realtor,Vegan Food/Veggie Juicer 19yrs. W/Daniel Gale Sothebys RE selling res RE 26 years f/t loving it.North Shore Long Island.Sea Cliff office. Associate RE Broker
66,115,125712433087123456,positive,apple,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT,25709609.0,tom keene,bloomberg surveillance
67,118,125701161926930433,positive,apple,@apple the iPhone 4s is great #genius,202892735.0,Brynn Baker,Somewhere between psychotic and iconic. inimitable. Grand World Champion 2017♕ University of Louisville cheerleader & GymTyme Chrome. NCA champion 2018.
68,119,125699573799845888,positive,apple,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.,14883342.0,Erik Kallevig,Dev Manager at Gannett Digital
